sale_id,customer_id,product,quantity,unit_price,sale_date
1,89,Notebook,5,419.42,2025-06-26 19:59:01.049266
2,34,Notebook,3,3261.6,2026-07-07 19:59:01.049314
3,18,Teclado,2,225.02,2025-12-25 19:59:01.049328
4,12,Teclado,5,4959.47,2026-02-07 19:59:01.049338
5,73,Mouse,5,1512.1,2026-05-05 19:59:01.049349
6,51,Teclado,4,4539.81,2026-02-05 19:59:01.049359
7,12,Monitor,4,1285.84,2025-06-11 19:59:01.049368
8,53,Notebook,1,4273.99,2026-03-14 19:59:01.049378
9,46,Monitor,4,1228.39,2025-10-10 19:59:01.049387
10,25,Monitor,1,4477.24,2025-04-30 19:59:01.049397
11,73,Mouse,1,2742.0,2024-11-20 19:59:01.049407
12,25,Headset,2,2036.95,2025-06-10 19:59:01.049417
13,43,Headset,2,1107.43,2026-05-11 19:59:01.049426
14,30,Monitor,1,2651.11,2026-04-07 19:59:01.049437
15,89,Headset,2,3805.9,2024-12-21 19:59:01.049446
16,77,Mouse,4,2009.12,2025-05-30 19:59:01.049455
17,85,Notebook,5,3950.16,2025-04-28 19:59:01.049465
18,100,Teclado,2,3639.44,2025-02-03 19:59:01.049475
19,25,Headset,3,147.16,2025-04-26 19:59:01.049484
20,67,Mouse,1,3331.73,2024-11-25 19:59:01.049494
21,55,Monitor,1,2262.67,2025-05-01 19:59:01.049504
22,47,Teclado,1,4699.63,2025-11-30 19:59:01.049514
23,30,Headset,3,2005.56,2024-11-06 19:59:01.049523
24,69,Notebook,1,4740.49,2026-05-18 19:59:01.049533
25,69,Mouse,1,2217.08,2025-08-15 19:59:01.049543
26,85,Headset,2,2384.17,2024-09-30 19:59:01.049560
27,86,Headset,1,4306.98,2025-11-29 19:59:01.049570
28,22,Monitor,3,4105.13,2026-01-27 19:59:01.049580
29,7,Monitor,1,4267.13,2026-06-26 19:59:01.049590
30,79,Headset,3,848.34,2025-11-20 19:59:01.049600
31,59,Headset,5,3174.36,2026-06-26 19:59:01.049609
32,52,Headset,2,1122.2,2026-04-10 19:59:01.049619
33,84,Teclado,3,1913.73,2024-10-30 19:59:01.049629
34,23,Teclado,2,3087.23,2025-03-17 19:59:01.049639
35,28,Notebook,4,3428.14,2024-12-09 19:59:01.049649
36,47,Headset,1,499.66,2025-02-12 19:59:01.049658
37,7,Notebook,5,4531.64,2026-02-03 19:59:01.049667
38,12,Teclado,4,322.86,2026-07-07 19:59:01.049677
39,30,Notebook,3,639.99,2025-11-10 19:59:01.049687
40,3,Mouse,1,1694.09,2026-02-17 19:59:01.049697
41,81,Teclado,2,2027.67,2024-10-20 19:59:01.049706
42,31,Headset,2,1619.63,2025-05-07 19:59:01.049716
43,25,Teclado,4,1413.92,2025-11-15 19:59:01.049725
44,25,Notebook,5,783.67,2025-12-08 19:59:01.049735
45,5,Teclado,4,132.05,2025-11-30 19:59:01.049744
46,33,Notebook,4,3081.36,2026-06-19 19:59:01.049753
47,52,Monitor,2,531.99,2026-09-06 19:59:01.049763
48,62,Monitor,5,504.38,2025-05-13 19:59:01.049772
49,32,Headset,2,2674.23,2024-10-11 19:59:01.049782
50,36,Notebook,3,1505.98,2025-01-12 19:59:01.049792
51,84,Notebook,5,4617.51,2026-06-06 19:59:01.049802
52,51,Headset,5,4959.0,2025-09-03 19:59:01.049811
53,78,Headset,2,212.66,2025-09-04 19:59:01.049821
54,53,Notebook,4,4282.95,2025-01-20 19:59:01.049830
55,13,Headset,2,3350.96,2025-02-05 19:59:01.049840
56,66,Mouse,4,4671.79,2024-09-28 19:59:01.049849
57,20,Monitor,5,4018.04,2025-01-30 19:59:01.049859
58,11,Monitor,1,3829.97,2026-01-05 19:59:01.049868
59,82,Headset,2,1577.31,2024-12-15 19:59:01.049878
60,60,Notebook,1,1588.68,2025-12-10 19:59:01.049888
61,29,Headset,5,1687.9,2026-07-27 19:59:01.049898
62,42,Monitor,1,3727.31,2024-11-25 19:59:01.049907
63,10,Monitor,4,1352.88,2025-07-13 19:59:01.049917
64,46,Notebook,3,824.99,2026-04-12 19:59:01.049926
65,38,Teclado,2,1351.37,2025-08-20 19:59:01.049937
66,88,Teclado,1,1928.16,2024-09-13 19:59:01.049947
67,14,Headset,4,2390.36,2026-03-06 19:59:01.049957
68,84,Monitor,2,4729.35,2026-01-06 19:59:01.049970
69,72,Monitor,5,2664.79,2025-02-21 19:59:01.049980
70,11,Monitor,5,786.09,2026-07-21 19:59:01.049990
71,6,Mouse,1,2088.21,2026-07-01 19:59:01.049999
72,88,Headset,3,3243.35,2025-04-10 19:59:01.050009
73,2,Teclado,1,1046.39,2025-11-13 19:59:01.050018
74,58,Mouse,3,120.62,2026-03-28 19:59:01.050028
75,14,Monitor,5,3187.16,2026-04-11 19:59:01.050037
76,74,Mouse,4,1604.12,2026-07-12 19:59:01.050047
77,85,Headset,1,1922.97,2025-05-18 19:59:01.050059
78,57,Teclado,4,3320.97,2025-12-02 19:59:01.050069
79,83,Teclado,2,829.37,2025-12-22 19:59:01.050079
80,59,Mouse,3,1535.06,2026-07-25 19:59:01.050088
81,15,Headset,3,2040.96,2026-06-27 19:59:01.050098
82,69,Monitor,1,1701.44,2026-08-28 19:59:01.050108
83,95,Monitor,2,427.2,2025-12-15 19:59:01.050118
84,79,Notebook,4,2918.18,2024-11-09 19:59:01.050127
85,34,Monitor,3,316.11,2025-01-03 19:59:01.050137
86,32,Mouse,3,1718.11,2026-04-21 19:59:01.050146
87,60,Monitor,3,2313.23,2024-10-12 19:59:01.050156
88,24,Mouse,3,884.12,2026-01-23 19:59:01.050176
89,66,Mouse,5,131.9,2025-03-31 19:59:01.050186
90,100,Notebook,2,2294.63,2025-10-31 19:59:01.050196
91,33,Teclado,4,4482.02,2025-01-27 19:59:01.050205
92,81,Monitor,5,380.46,2026-01-03 19:59:01.050215
93,10,Headset,4,1072.07,2024-11-12 19:59:01.050225
94,61,Notebook,3,1844.41,2024-12-18 19:59:01.050235
95,79,Teclado,5,2796.9,2026-08-23 19:59:01.050244
96,80,Monitor,4,688.59,2025-05-12 19:59:01.050254
97,43,Headset,5,2161.52,2025-11-05 19:59:01.050263
98,33,Headset,3,81.18,2025-04-01 19:59:01.050273
99,65,Notebook,1,1223.68,2025-10-27 19:59:01.050282
100,68,Teclado,3,125.95,2025-02-05 19:59:01.050292
101,50,Mouse,3,706.64,2024-12-23 19:59:01.050301
102,15,Monitor,5,1780.52,2025-10-05 19:59:01.050311
103,62,Monitor,1,1100.92,2025-12-24 19:59:01.050321
104,73,Headset,2,4052.28,2025-06-14 19:59:01.050330
105,79,Headset,1,498.14,2026-05-14 19:59:01.050340
106,65,Mouse,1,3666.57,2024-11-23 19:59:01.050349
107,22,Headset,3,2984.53,2025-03-04 19:59:01.050359
108,88,Monitor,1,1937.41,2026-05-26 19:59:01.050368
109,9,Mouse,2,4399.89,2024-10-04 19:59:01.050379
110,86,Teclado,2,4854.69,2025-02-15 19:59:01.050393
111,5,Teclado,3,3103.89,2026-07-21 19:59:01.050402
112,7,Headset,5,316.59,2024-10-20 19:59:01.050412
113,81,Headset,1,2127.12,2025-03-11 19:59:01.050422
114,67,Notebook,1,4920.6,2025-08-22 19:59:01.050431
115,30,Teclado,3,1953.37,2026-01-02 19:59:01.050441
116,11,Mouse,3,3992.69,2025-12-09 19:59:01.050451
117,86,Monitor,2,2235.06,2026-01-13 19:59:01.050460
118,39,Notebook,1,3893.76,2025-05-05 19:59:01.050470
119,30,Headset,1,4726.3,2025-04-30 19:59:01.050480
120,17,Teclado,2,4584.15,2025-06-09 19:59:01.050489
121,15,Headset,1,2498.05,2025-10-15 19:59:01.050499
122,8,Teclado,5,3529.06,2026-07-05 19:59:01.050509
123,76,Teclado,2,3040.48,2026-02-22 19:59:01.050519
124,92,Monitor,2,2415.79,2025-04-17 19:59:01.050528
125,23,Mouse,4,2843.12,2025-03-01 19:59:01.050538
126,98,Teclado,2,1571.65,2025-02-20 19:59:01.050548
127,70,Teclado,4,2768.79,2025-07-20 19:59:01.050557
128,91,Mouse,3,1896.35,2025-05-22 19:59:01.050567
